unit,day,minutes,size_mb,width,height,topic_guess,path
review,,17.56,527.1,1440,1920,Unit 1 Test Review,teacher and student work/Copy of Algebra 2B (Khan) G Block 4/Unit 1 Test Review Video (25-26).MP4
1,7,11.06,379.1,1440,1920,U1-D7,teacher and student work/Copy of Algebra 2B (Khan) G Block 5/U1-D7 Video (25-26).MP4
1,8,15.05,431.4,1440,1920,U1-D8,teacher and student work/Copy of Algebra 2B (Khan) G Block 5/U1-D8 Video (25-26).MP4
2,4,10.65,324.5,1440,1920,U2-D4,teacher and student work/Copy of Algebra 2B (Khan) G Block 5/U2-D4 Video (25-26).MP4
2,5,14.35,400.7,1440,1920,U2-D5,teacher and student work/Copy of Algebra 2B (Khan) G Block 5/U2-D5 Video (25-26).MP4
2,6,11.32,367.7,1440,1920,U2-D6,teacher and student work/Copy of Algebra 2B (Khan) G Block 5/U2-D6 Video (25-26).MP4
3,8,2.99,86.4,1440,1920,U3-D8,teacher and student work/Copy of Algebra 2B (Khan) G Block 5/U3-D8 Video Part 1 (25-26).MP4
unknown,,3.93,39.8,1334,1920,Transformation vid,teacher and student work/Copy of Algebra 2B (Khan) G Block 6/Transformation vid.mp4
1,7,17.19,38.9,1920,1440,U1 - D7,teacher and student work/Copy of Algebra 2B (Khan) G Block 6/U1 - D7 Video.mp4
1,2,14.79,350.1,1440,1920,U1-D2,teacher and student work/Copy of Algebra 2B (Khan) G Block 6/U1-D2 Video (25-26).MP4
1,3,17.81,549.4,1440,1920,U1-D3,teacher and student work/Copy of Algebra 2B (Khan) G Block 6/U1-D3 Video (25-26).MP4
1,4,11.6,313.4,1440,1920,U1-D4,teacher and student work/Copy of Algebra 2B (Khan) G Block 6/U1-D4 Video (25-26).MP4
1,5,10.36,263.8,1440,1920,U1-D5,teacher and student work/Copy of Algebra 2B (Khan) G Block 6/U1-D5 Video (25-26).MP4
2,3,11.27,364.9,1440,1920,U2-D3 (),teacher and student work/Copy of Algebra 2B (Khan) G Block 6/U2-D3 Video (Part 1) 25-26.MP4
2,7,2.49,87.5,1440,1920,U2-D7 (),teacher and student work/Copy of Algebra 2B (Khan) G Block 6/U2-D7 Video (Part 2) 25-26.MP4
unknown,,2.33,299.2,1440,1920,Copy of HW Submission,teacher and student work/Copy of Algebra 2B (Khan) G Block 7/Copy of HW Submission Video.mp4
unknown,,3.85,10.0,1440,900,Ln and PLYSMLT Calculator Help,teacher and student work/Copy of Algebra 2B (Khan) G Block 7/Ln and PLYSMLT Calculator Help Video.mp4
1,1,10.59,279.4,1440,1920,U1-D1,teacher and student work/Copy of Algebra 2B (Khan) G Block 7/U1-D1 Video (25-26).MP4
2,2,17.28,515.3,1440,1920,U2-D2,teacher and student work/Copy of Algebra 2B (Khan) G Block 7/U2-D2 Video (25-26).MP4
2,3,1.23,45.5,1440,1920,U2-D3 (),teacher and student work/Copy of Algebra 2B (Khan) G Block 7/U2-D3 Video (Part 2) 25-26.MP4
6,3,9.82,194.2,1620,2160,U6-D3,teacher and student work/Copy of Algebra 2B (Khan) G Block 7/U6-D3 Video.MP4
7,3,14.78,642.2,1440,1920,U7-D3,teacher and student work/Copy of Algebra 2B (Khan) G Block 7/U7-D3 Video (23-24).mp4
3,7,4.19,99.8,1440,1920,U3-D7,teacher and student work/Copy of Algebra 2B (Khan) G Block 8/U3-D7 Video (25-26).MP4
6,4,7.93,259.1,1440,1920,U6-D4,teacher and student work/Copy of Algebra 2B (Khan) G Block 8/U6-D4 Video Part 2 (23-24).mp4
7,1,13.53,399.5,1440,1920,U7-D1,teacher and student work/Copy of Algebra 2B (Khan) G Block 8/U7-D1 Video (23-24).mp4
7,2,15.96,521.1,1440,1920,U7-D2,teacher and student work/Copy of Algebra 2B (Khan) G Block 8/U7-D2 Video (23-24).mp4
review,,26.55,730.6,1440,1920,Unit 9 Review (Conics),teacher and student work/Copy of Algebra 2B (Khan) G Block 8/Unit 9 Review Video (Conics).MP4
review,,40.97,1331.3,1440,1920,A2B Final Review,teacher and student work/Copy of Algebra 2B (Khan) G Block 9/A2B Final Review Video (23-24).MP4
6,7,7.16,173.9,1620,2160,U6-D7 (graphing polynomials),teacher and student work/Copy of Algebra 2B (Khan) G Block 9/U6-D7 Video (graphing polynomials).MP4
review,,8.31,67.0,1440,1920,Unit 6 Study Guide Extra Problems,teacher and student work/Copy of Algebra 2B (Khan) G Block 9/Unit 6 Study Guide Extra Problems Video.mp4
review,,16.65,435.1,1440,1920,Unit 6 Study Guide,teacher and student work/Copy of Algebra 2B (Khan) G Block 9/Unit 6 Study Guide Video (23-24).mp4
3,10,8.44,281.7,1440,1920,U3-D10,teacher and student work/Copy of Algebra 2B (Khan) G Block/U3-D10 Video (25-26).MP4
4,1,8.99,268.6,1440,1920,U4-D1,teacher and student work/Copy of Algebra 2B (Khan) G Block/U4-D1 Video.MP4
6,1,9.17,247.2,1620,2160,U6-D1,teacher and student work/Copy of Algebra 2B (Khan) G Block/U6-D1 Video.MP4
6,8,10.69,206.9,1620,2160,U6-D8 (synthetic),teacher and student work/Copy of Algebra 2B (Khan) G Block/U6-D8 Video (synthetic).MP4
unknown,,7.91,264.6,1440,1920,Unit 3 Post-Break Warm-up,teacher and student work/Copy of Algebra 2B (Khan) G Block/Unit 3 Post-Break Warm-up Video.MP4
review,,23.33,672.5,1440,1920,Unit 3 Test Review,teacher and student work/Copy of Algebra 2B (Khan) G Block/Unit 3 Test Review Video.MP4
